Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.282,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.516,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.735,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.985,TraderOne,Tick,0,0,0,0,147600,,0,0,0,OK
1.297,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.485,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.75,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
2.032,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
2.219,TraderOne,Tick,0,0,0,0,147600,146900,0,0,0,OK
2.5,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
2.703,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
2.985,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.203,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.469,TraderOne,Tick,0,0,0,0,147500,146900,0,0,0,OK
3.75,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
3.969,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.266,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.453,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.719,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
5.032,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
5.219,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
5.516,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
5.797,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
5.985,TraderOne,Tick,0,25,-25,0,147000,146800,735,3674265,-735,OK
6.282,TraderOne,Tick,0,25,-25,0,147000,146800,735,3674265,-735,OK
6.469,TraderOne,Tick,0,25,-25,0,147000,146800,735,3674265,-735,OK
6.719,TraderOne,Tick,0,25,-25,0,147200,146700,735,3674265,1765,OK
7.047,TraderOne,Tick,0,25,-25,0,147200,146900,735,3674265,-3235,OK
